Serial	Description	Category
n10559288	"schoolchild, school-age child, pupil"	n10804406
n10559603	schoolgirl	n10084295
n10559683	"Schoolman, medieval Schoolman"	n10557854
n10561222	scion	n10006511
n10561320	"scoffer, flouter, mocker, jeerer"	n09631463
n10561861	"scold, scolder, nag, nagger, common scold"	n09631463
n10562135	"scorekeeper, scorer"	n10372076
n10562391	scorer	n10439851
n10563183	Scout	n10084295
n10563403	scrambler	n10335931
n10563610	scratch	n10533013
n10563940	"scrawler, scribbler"	n10801291
n10564905	scriptwriter	n10794014
n10565667	scuba diver	n10019552
n10565951	scullion	n10582154
n10566072	"sculptor, sculpturer, carver, statue maker"	n09812338
n10568443	seconder	n10677713
n10569744	"secretary, secretarial assistant"	n09815790
n10570019	secretary	n10162991
n10575089	"seducer, ladies' man, lady killer"	n10257647
n10575387	seductress	n10575241
n10575463	"seeded player, seed"	n10439851
n10576962	selfish person	n09631463
n10577182	self-starter	n10462429
n10577820	"semanticist, semiotician"	n10264437
n10578021	semifinalist	n10533013
n10578162	"seminarian, seminarist"	n10665698
n10578656	sendee	n09627906
n10578952	Senhor	n10287213
n10579835	"sensationalist, ballyhoo artist"	n10490699
n10580437	septuagenarian	n10376523
n10582032	serologist	n10306004
n10582507	"servant girl, serving girl"	n10582154
n10582604	server	n10439851
n10582746	"serviceman, military man, man, military personnel"	n10605985
n10583387	"settler, colonist"	n10314952
n10583916	settler	n10351874
n10584617	sexagenarian	n10376523
n10585359	shadow	n10100124
n10585773	Shaker	n09678009
n10586166	"Shakespearian, Shakespearean"	n10557854
n10586674	shark	n09633969
n10586793	sharpshooter	n09820263
n10586903	shaver	n10287213
n10586998	Shavian	n10677713
n10587089	shearer	n10605985
n10589243	"shiksa, shikse"	n10787470
n10590146	shipmate	n09816771
n10590339	shipper	n09882716
n10590903	shirtmaker	n10284064
n10591072	shogun	n10011902
n10591239	Shona	n09692624
n10591481	shooter	n10439851
n10593392	"gunman, gun"	n10593115
n10593521	shot putter	n09820263
n10594408	shuffler	n10412055
n10594857	"shyster, pettifogger"	n09633969
n10596348	sidesman	n09815790
n10596517	sightreader	n10415638
n10596689	"sightseer, excursionist, tripper, rubberneck"	n10718131
n10597091	signalman	n10596899
n10597745	"signor, signior"	n10287213
n10598013	signore	n10287213
n10598349	Sikh	n10016103
n10598641	silly	n09917593
n10598904	"addle-head, addlehead, loon, birdbrain"	n10322238
n10601078	"sinner, evildoer"	n09633969
n10601234	Sinologist	n10557854
n10601451	sir	n10287213
n10601644	sirdar	n10200781
n10603766	sister-in-law	n10207169
n10604275	sixth-former	n10665698
n10604491	skater	n09820263
n10605253	skier	n09820263
n10605510	skimmer	n10508862
n10607291	"skin-diver, aquanaut"	n10683126
n10607706	skinner	n10605985
n10607824	skipper	n10665698
n10608188	skydiver	n10397482
n10608385	"slacker, shirker"	n10197967
n10609960	"slave driver, Simon Legree"	n10054657
n10610096	"slaveholder, slave owner, slaver"	n10180178
n10610201	"slaver, slave dealer, slave trader"	n10752719
n10610333	sledder	n09820263
n10611267	sleeping beauty	n10610465
n10611361	"sleepwalker, somnambulist, noctambulist"	n10610465
n10611869	slicker	n10625285
n10612104	slip	n10804406
n10612373	sloganeer	n10482921
n10612645	slouch	n10202363
n10612931	"sluggard, slug"	n10197967
n10613387	smallholder	n10078806
n10613738	small farmer	n10078806
n10613996	"smasher, stunner, knockout, beauty, ravisher, sweetheart, peach, lulu, looker, mantrap, dish"	n10787470
n10614629	"smith, metalworker"	n10605985
n10614812	smith	n10605985
n10614976	"smoker, tobacco user"	n09612848
n10615584	snake charmer	n10415638
n10616048	sneak	n09631463
n10616379	"sneerer, scorner"	n09631463
n10617024	"snob, prig, snot, snoot"	n09631463
n10617397	snorer	n10610465
n10617501	snorter	n09631463
n10617814	"snuffer, snuff user"	n09612848
n10618342	soccer player	n10439851
n10618848	socialist	n10450303
n10619409	socialite	n10200781
n10620212	Socinian	n10016103
n10620437	sociobiologist	n09855630
n10620586	sociolinguist	n10264437
n10620758	sociologist	n10619642
n10621847	sojourner	n10523519
n10623354	"solicitor, canvasser"	n10420031
n10623949	somniloquist	n10610465
n10624915	son-in-law	n10207169
n10626540	sorceress	n10625860
n10628222	Southerner	n09738708
n10629020	sower	n10078806
n10629329	spacewalker	n09818022
n10629449	space writer	n10794014
n10629545	spammer	n10578762
n10629647	"Spanish American, Hispanic American, Hispanic"	n09738708
n10629820	sparer	n09608709
n10629939	"sparring partner, sparring mate"	n09870208
n10630093	spastic	n10398033
n10630188	"speaker, talker, utterer, verbalizer, verbaliser"	n09811712
n10631309	Speaker	n10469346
n10631654	speechwriter	n10794014
n10634316	speculator	n10708454
n10634464	speech therapist	n10707233
n10634723	speed freak	n09768830
n10635149	"speller, good speller, poor speller"	n10801291
n10636340	"spinner, spinster, thread maker"	n10284064
n10637038	spiv	n10197967
n10638310	spokesman	n10638385
n10638734	spokeswoman	n10638385
n10638922	"sport, sportsman, sportswoman"	n09820263
n10639238	"sport, summercater"	n10744164
n10640195	spotter	n10053808
n10640327	spotter	n10053808
n10641223	sprog	n09917593
n10642151	spy	n10633450
n10642596	square dancer	n10098862
n10642845	"square, square toes"	n09957156
n10643400	squaw	n09645091
n10644598	"staff member, staffer"	n10053808
n10645392	"stagehand, stage technician"	n10053808
n10645854	"staggerer, totterer, reeler"	n10412055
n10646528	stalker	n10412055
n10646942	"stamper, stomper, tramper, trampler"	n10412055
n10647475	standard-bearer	n10450303
n10648909	starer	n10633450
n10649308	"starter, dispatcher"	n10372076
n10649574	starting pitcher	n10649438
n10649823	stater	n10523519
n10650162	"statesman, solon, national leader"	n10450303
n10652605	state treasurer	n10727256
n10652954	"statistician, actuary"	n09887034
n10653238	"statistician, mathematical statistician"	n10301261
n10653679	"steelmaker, steelworker, steelman"	n10284064
n10656120	stiff	n10287213
n10657306	stitcher	n09619452
n10657681	"stocktaker, stock-taker"	n10053808
n10657969	"stockholder, shareholder, shareowner"	n10216106
n10658501	"stockman, stock raiser, stock farmer"	n10078806
n10659294	"stonecutter, cutter"	n10498551
n10659571	stonewaller	n10349243
n10659961	stooper	n10549510
n10660471	stowaway	n10403876
n10660883	"straight man, second banana"	n10415638
n10661334	straphanger	n10403876
n10661865	strider	n10412055
n10662162	stringer	n10439851
n10662819	street fighter	n10533013
n10663996	striker	n09820263
n10664340	"stripper, striptease artist, striptease, stripteaser, exotic dancer, ecdysiast, peeler"	n10415638
n10665006	strongman	n10011902
n10665190	strongman	n10415638
n10665587	"stud, he-man, macho-man"	n10287213
n10666464	study	n10308504
n10666752	"stumblebum, palooka"	n09870208
n10666846	"double, stunt man, stunt woman"	n10648237
n10667041	"stumbler, tripper"	n10412055
n10667477	stylist	n09812338
n10667596	stylite	n09758173
n10669991	"subordinate, subsidiary, underling, foot soldier"	n09815790
n10670668	"subscriber, endorser, indorser, ratifier"	n10677713
n10671042	"substitute, reserve, second-stringer"	n09820263
n10671300	subtracter	n09887034
n10671387	suburbanite	n10523519
n10671467	"subvocalizer, subvocaliser"	n09811712
n10671613	"successor, heir"	n10373998
n10672371	Sufi	n09682291
n10672662	suffragette	n10672908
n10673296	sugar daddy	n10682953
n10673451	"suggester, proposer"	n10383816
n10673776	suicide bomber	n10702781
n10674130	"suitor, suer, wooer"	n09771435
n10674592	summercaters	n10744164
n10674713	sumo wrestler	n10793168
n10674896	sun	n10200781
n10675010	sunbather	n10197967
n10675258	sun worshiper	n09847727
n10675609	super heavyweight	n09870208
n10675876	superior	n10518602
n10676877	supervisor	n10676018
n10677271	"supplier, provider"	n09882716
n10679054	"surfer, surfboarder"	n10683126
n10679845	surrealist	n09812338
n10680153	"surrogate, alternate, replacement"	n10648237
n10681891	Svengali	n10418841
n10682038	swaggerer	n10412055
n10682501	swearer	n09859412
n10682713	sweeper	n10053808
n10683349	swimmer	n09820263
n10683675	"swinger, tramp"	n10257647
n10683801	swinger	n09820263
n10684446	switch-hitter	n09857007
n10684827	"sycophant, toady, crawler, lackey, ass-kisser"	n10095869
n10685123	"syllogist, syllogizer, syllogiser"	n10269785
n10685398	sylph	n10787470
n10685587	symbolic logician	n10269785
n10685685	symbolist	n09812338
n10686073	"sympathizer, sympathiser, well-wisher"	n10677713
n10687427	syphilitic	n10595647
n10687728	systems analyst	n09790482
n10688491	Tagalog	n09727440
n10689104	"tail, shadow, shadower"	n10100124
n10692090	Tarzan	n10287213
n10692696	"tattletale, tattler, taleteller, talebearer, telltale, blabbermouth"	n10139347
n10693824	"taxonomist, taxonomer, systematist"	n09855630
n10694163	taxpayer	n10409752
n10694849	teacher's pet	n09991867
n10695050	"teammate, mate"	n09816771
n10695333	teamster	n10035430
n10695450	tearaway	n09991530
n10696251	technician	n10605985
n10696672	technocrat	n10450303
n10697420	telecaster	n09875786
n10698368	"television reporter, television newscaster, TV reporter, TV newsman"	n10521662
n10700201	"tenant, renter"	n10409752
n10700517	tenant	n10523519
n10700640	tenant	n10180178
n10700840	tenant farmer	n10078806
n10700963	tenderfoot	n10363913
n10701180	tennis player	n10439851
n10702077	tentmaker	n10284064
n10703692	"testee, examinee"	n10524413
n10704516	Teutonist	n10631941
n10704886	thane	n09923673
n10705448	theatrical producer	n10480018
n10705615	"theologian, theologist, theologizer, theologiser"	n10557854
n10707134	theosophist	n09847727
n10709435	thrall	n09865398
n10710509	tier	n10533013
n10711005	tiller	n10078806
n10711144	tilter	n10533013
n10711483	"timekeeper, timer"	n10372076
n10711766	Timorese	n09641757
n10713012	tither	n10409752
n10713502	"toaster, wassailer"	n10677713
n10713686	"toastmaster, symposiarch"	n10299250
n10714465	"toddler, yearling, tot, bambino"	n09917593
n10714577	"toff, nob"	n10292052
n10714684	"tollkeeper, tollman, tollgatherer, toll collector, toll taker, toll agent, toller"	n10053808
n10714851	"toller, bell ringer, ringer"	n10596899
n10715347	toolmaker	n10284064
n10716576	Tory	n09738708
n10717337	totalitarian	n10016103
n10718040	tour guide	n10151570
n10718665	"tovarich, tovarisch"	n09945905
n10719132	"town crier, crier"	n09795334
n10719267	"townsman, towner"	n10523519
n10719807	toxicologist	n10306004
n10720197	track star	n09762509
n10720267	Tractarian	n09678009
n10721124	"traditionalist, diehard"	n09957156
n10721708	tragedian	n10794014
n10721919	trailblazer	n10562749
n10722385	trainee	n10363913
n10722758	"trainman, railroader, railroad man, railwayman, railway man"	n10053808
n10723984	transcriber	n10801291
n10724272	transcriber	n10801291
n10724570	transferee	n09627906
n10724699	"transferer, transferrer"	n10335931
n10726524	trapshooter	n10593115
n10727016	traverser	n10335931
n10727818	"tree surgeon, arborist"	n10631941
n10728233	"trend-setter, taste-maker, fashion arbiter"	n10324851
n10728523	trial judge	n10225219
n10728727	tribologist	n10304650
n10728828	tribune	n09614684
n10729175	trier	n10225219
n10729330	trifler	n10197967
n10729442	trigonometrician	n10301261
n10729801	triplet	n10595164
n10731732	"truant, hooky player"	n09757653
n10731848	"trudger, plodder, slogger"	n10412055
n10733117	"tuner, piano tuner"	n10605985
n10733225	turncock	n10053808
n10733487	turner	n10605985
n10733705	turtler	n10605985
n10734394	twin	n10595164
n10735173	typist	n10053808
n10735298	"tyrant, autocrat, despot"	n10011902
n10735984	"umpire, ump"	n10372076
n10736091	uncle	n10236946
n10736259	uncle	n09608709
n10736394	"underachiever, underperformer, nonachiever"	n10665698
n10738321	uniocular dichromat	n10011659
n10738670	Unitarian	n10016103
n10738787	Trinitarian	n10016103
n10738871	Arminian	n10016103
n10739297	UNIX guru	n09950917
n10739512	unmarried woman	n10787470
n10739636	"unpleasant woman, disagreeable woman"	n09631463
n10739881	"untouchable, Harijan"	n10386312
n10740219	"upholder, maintainer, sustainer"	n10677713
n10740594	upsetter	n10782940
n10740868	"upstart, parvenu, nouveau-riche, arriviste"	n09631463
n10741152	upstart	n09631463
n10741258	urban guerrilla	n10150556
n10741367	urchin	n09917593
n10742546	"usurper, supplanter"	n09633969
n10743356	Utopian	n10515194
n10744544	"vagrant, drifter, floater, vagabond"	n10453357
n10745006	"valedictorian, valedictory speaker"	n10557854
n10745181	valentine	n10682953
n10745613	valetudinarian	n10595647
n10746056	vandal	n10008716
n10746195	Vandal	n10553402
n10746799	vaudevillian	n10415638
n10746931	"vaulter, pole vaulter, pole jumper"	n09820263
n10747294	Vedist	n10557854
n10747815	ventriloquist	n10415638
n10747965	venture capitalist	n10634075
n10748620	"very important person, VIP, high-up, dignitary, panjandrum, high muckamuck"	n10200781
n10748804	vestal	n10787470
n10753339	"vigilante, vigilance man"	n10759151
n10753917	villainess	n10753546
n10754088	"vintner, winemaker, wine maker"	n10284064
n10754281	"violator, debaucher, ravisher"	n10257647
n10754920	violin maker	n10284064
n10755648	"Visayan, Bisayan"	n09727440
n10756837	visiting fireman	n10757193
n10758207	vivisectionist	n09855630
n10758949	voicer	n10605985
n10759047	volleyball player	n10439851
n10759702	"vomiter, spewer"	n10595647
n10759820	votary	n10016103
n10760199	votary	n10518602
n10760340	"voter, elector"	n09923673
n10760763	"voucher, verifier"	n10677713
n10760951	vower	n10482054
n10761326	"voyeur, Peeping Tom, peeper"	n10633450
n10761519	"vulcanizer, vulcaniser"	n10605985
n10761693	vulgarian	n09631463
n10761962	Wac	n10787470
n10762064	waddler	n10412055
n10762342	"wag, wit, card"	n10191943
n10762607	"wagoner, waggoner"	n10035430
n10762792	"Wahhabi, Wahabi"	n09682291
n10763075	"waif, street child"	n09917593
n10764907	wallflower	n10594715
n10765000	walloper	n10782940
n10765189	"wallpaperer, wall-paperer"	n10605985
n10765305	wally	n10100761
n10766899	war criminal	n09633969
n10767837	warlord	n10316862
n10768272	warrantee	n09627906
n10769084	"washerman, laundryman"	n10768903
n10769188	"washwoman, washerwoman, laundrywoman, laundress"	n10768903
n10769607	watchdog	n09614684
n10769905	"watchmaker, horologist, horologer"	n10284064
n10770309	"water boy, waterer"	n09815790
n10771066	Wave	n10787470
n10771539	wayfarer	n10412055
n10772472	weekender	n10744164
n10772721	weekend warrior	n10182499
n10773040	weeper	n10335246
n10773394	"weightlifter, lifter"	n09820263
n10774018	welterweight	n10793168
n10774113	welterweight	n09870208
n10774440	West Indian	n09738400
n10775379	"wheedler, coaxer"	n10418841
n10775911	Whig	n10450303
n10776052	Whig	n10677713
n10776339	"whiner, complainer, moaner, sniveller, crybaby, bellyacher, grumbler, squawker"	n09631463
n10776887	whipper-in	n09815790
n10776987	"whippersnapper, jackanapes, lightweight"	n09923418
n10777400	"whistle blower, whistle-blower, whistleblower"	n10205985
n10777768	whistler	n10596899
n10779238	white separatist	n10580030
n10779610	white supremacist	n10678662
n10779775	whittler	n10197967
n10780105	"Wiccan, witch"	n10390902
n10780284	"widow, widow woman"	n10787470
n10780506	"widower, widowman"	n10287213
n10780632	"wife, married woman"	n10787470
n10781460	wigmaker	n10284064
n10782471	winger	n09820263
n10783352	window washer	n10768903
n10783734	"wireman, wirer"	n10605985
n10784544	witch doctor	n10625860
n10784922	withdrawer	n10665698
n10787364	wolf boy	n10781684
n10789118	"womanizer, womaniser, philanderer"	n10257647
n10789415	"wonder boy, golden boy"	n10287213
n10789820	wonder woman	n10787470
n10790384	"woodsman, woodman"	n10544232
n10790671	wordmonger	n10794014
n10790813	word-painter	n10794014
n10790918	wordsmith	n10794014
n10791221	"workman, workingman, working man, working person"	n10053808
n10792028	"worm, louse, insect, dirt ball"	n09631463
n10792178	"worrier, fuss-budget, fusspot, worrywart"	n10638136
n10792335	"worshiper, worshipper"	n09771435
n10792506	worthy	n10200781
n10792746	wrangler	n09997404
n10801561	Wykehamist	n10665698
n10802283	"Yankee, Yank, Northerner"	n09738708
n10803282	yenta	n10139347
n10804102	"yokel, rube, hick, yahoo, hayseed, bumpkin, chawbacon"	n10544232
n10804287	"young buck, young man"	n09772029
n10804923	yuppie	n10480253
n10806222	"zoologist, animal scientist"	n09855630
n11071467	"Indiana, Robert Indiana"	n09812338
n11242077	"Ponce de Leon, Juan Ponce de Leon"	n10347883
n11244061	"Potemkin, Potyokin, Grigori Potemkin, Grigori Potyokin, Grigori Aleksandrovich Potemkin"	n10450303
n11346710	"Town, Ithiel Town"	n09805475
n11346873	"Townes, Charles Townes, Charles Hard Townes"	n10428004
n09505153	spiritual leader	n09623038
n09605110	number one	n09604981
n09606380	anomalist	n09621545
n09606873	anachronism	n09606527
n09607782	argonaut	n09606009
n09607903	Ashkenazi	n09681351
n09608709	"benefactor, helper"	n10138767
n09609746	caster	n09632518
n09611548	Conservative Jew	n09681351
n09611722	conservator	n10086074
n09612291	contester	n09615465
n09612848	consumer	n10741590
n09613690	"cosigner, cosignatory"	n10597234
n09613853	cosigner	n10597234
n09614684	"defender, guardian, protector, shielder"	n10466918
n09615211	"defender, withstander"	n09939313
n09617435	ex-gambler	n10118844
n09618760	exponent	n09621545
n09619452	finisher	n09632518
n09622745	lover	n10024362
n09625213	monochromat	n09610255
n09627263	"preteen, preteenager"	n09622049
n09627906	"recipient, receiver"	n09764201
n09629065	religionist	n09628382
n09631463	"unpleasant person, disagreeable person"	n09631129
n09633969	"wrongdoer, offender"	n09831962
n09635534	Black African	n09634494
n09635823	"Aryan, Indo-European"	n09627462
n09635973	Aryan	n09638875
n09636796	Negress	n09636339
n09637512	"colored person, colored"	n09636339
n09637684	"darky, darkie, darkey"	n09636339
n09638009	"nigger, nigga, spade, coon, jigaboo, nigra"	n09636339
n09638245	"Tom, Uncle Tom"	n09636339
n09638454	mulatto	n10323999
n09638569	quadroon	n10323999
n09638722	octoroon	n10323999
n09639382	Circassian	n09638875
n09639719	paleface	n09638875
n09639919	Semite	n09638875
n09640577	"Kassite, Cassite"	n09638875
n09640715	Elamite	n09638875
n09641422	"whitey, honky, honkey, honkie"	n09638875
n09641578	"WASP, white Anglo-Saxon Protestant"	n09638875
n09641757	"Asian, Asiatic"	n09620078
n09645091	"Indian, American Indian, Red Indian"	n09644820
n09645788	brave	n10768585
n09655354	Essene	n09681351
n09678009	Christian	n09628382
n09680136	non-Catholic	n09628382
n09681973	Jewess	n09681351
n09682122	"kike, hymie, sheeny, yid"	n09681351
n09682291	"Muslim, Moslem"	n09628382
n09683757	Buddhist	n09628382
n09684609	"Hindu, Hindoo"	n09628382
n09686536	European	n09620078
n09690083	Algerian	n09634494
n09690621	Angolan	n09634494
n09691279	"Australian, Aussie"	n09620078
n09691435	Austronesian	n09620078
n09692125	Basotho	n09634494
n09692624	Bantu	n09634494
n09694269	Beninese	n09634494
n09695871	Burundian	n09634494
n09696456	Cameroonian	n09634494
n09697070	Carthaginian	n09634494
n09697650	Chadian	n09634494
n09697771	"Chewa, Cewa, Chichewa"	n09634494
n09698644	Congolese	n09634494
n09700125	Djiboutian	n09634494
n09700492	Egyptian	n09634494
n09705124	Ethiopian	n09634494
n09705287	Ewe	n09634494
n09705471	"Fulani, Fula, Fulah, Fellata, Fulbe"	n09634494
n09710041	Gabonese	n09634494
n09719309	Kenyan	n09634494
n09720702	Levantine	n09620794
n09720842	Liberian	n09634494
n09720967	Libyan	n09634494
n09721647	Madagascan	n09634494
n09721759	Malawian	n09634494
n09722279	Malian	n09634494
n09722399	Mauritanian	n09634494
n09722530	Mauritian	n09620794
n09723564	Moroccan	n09634494
n09723689	Mozambican	n09634494
n09723819	Namibian	n09634494
n09724533	"New Zealander, Kiwi"	n09620078
n09724785	Nigerian	n09634494
n09725124	Nigerien	n09634494
n09726621	South American Indian	n09644820
n09726811	"Carib, Carib Indian"	n09644820
n09727323	Inca	n10541229
n09727440	Filipino	n09620794
n09728403	Russian	n09620794
n09730824	Senegalese	n09634494
n09730951	Seychellois	n09620794
n09731225	Sierra Leonean	n09634494
n09731436	South African	n09634494
n09732170	Sudanese	n09634494
n09732293	Swazi	n09634494
n09734185	Tanzanian	n09634494
n09734535	Togolese	n09634494
n09734639	Tuareg	n09634494
n09734760	Tunisian	n09634494
n09736945	Ugandan	n09634494
n09738400	American	n09620078
n09738708	American	n09620078
n09747495	Gambian	n09634494
n09748889	Ghanian	n09634494
n09749386	Guinean	n09634494
n09749509	Rwandan	n09634494
n09749880	"Somalian, Somali"	n09634494
n09751076	"Serbian, Serb"	n09676884
n09751256	"Croatian, Croat"	n09676884
n09751403	Sorbian	n09676884
n09751496	Xhosa	n09634494
n09751622	"Zairese, Zairean"	n09634494
n09751772	Zambian	n09634494
n09751895	Zimbabwean	n09634494
n09752023	Zulu	n09634494
n09753930	abandoned person	n09630641
n09754780	"abominator, loather"	n10162194
n09755657	abdicator	n10502046
n09755893	aberrant	n09606527
n09756195	abhorrer	n10597234
n09757076	autochthon	n09627462
n09757311	abrogator	n09824609
n09757653	absentee	n09629752
n09758173	"abstainer, ascetic"	n09628382
n09762385	accuser	n09615465
n09762509	"ace, adept, champion, sensation, maven, mavin, virtuoso, genius, hotshot, star, superstar, whiz, whizz, wizard, wiz"	n09617867
n09768830	addict	n10036266
n09770743	administrator	n10086074
n09771435	"admirer, adorer"	n09622302
n09772029	"adolescent, stripling, teenager, teen"	n09622049
n09772606	adulterator	n09609871
n09773169	adventuress	n09606009
n09773682	"adverse witness, hostile witness"	n10786517
n09775907	aeronautical engineer	n09615807
n09776079	aerospace engineer	n09615807
n09776642	affluent	n10529231
n09778927	agnostic	n09628382
n09779280	agonist	n09613191
n09780120	agronomist	n09617867
n09780984	airhead	n10599354
n09781398	"air traveler, air traveller"	n09629752
n09781504	alarmist	n09610660
n09781650	albino	n09606527
n09781921	alchemist	n09621545
n09784160	"allegorizer, allegoriser"	n09610660
n09784707	"allocator, distributor"	n09824609
n09784870	"all-rounder, all arounder"	n09617867
n09785409	"alphabetizer, alphabetiser"	n10266328
n09785786	Alsatian	n09620078
n09785992	alter ego	n10112591
n09788521	amigo	n10112591
n09788611	"amnesic, amnesiac"	n10158756
n09789566	amputee	n09630641
n09790482	analyst	n09617867
n09791530	analyst	n09617867
n09791816	"anarchist, nihilist, syndicalist"	n10503452
n09792237	anatomist	n09617867
n09792555	"ancestor, ascendant, ascendent, antecedent, root"	n10235549
n09794320	anglophobe	n10162194
n09795334	announcer	n09610660
n09795639	anointer	n09628382
n09797606	"antiquary, antiquarian, archaist"	n09617867
n09797742	"anti-Semite, Jew-baiter"	n10162194
n09798096	aphakic	n10757625
n09798244	aphasic	n10158756
n09798404	aphorist	n09621545
n09798534	"apologist, vindicator, justifier"	n09774783
n09801533	"aspirant, aspirer, hopeful, wannabe, wannabee"	n09607280
n09802641	appropriator	n09764201
n09802844	approver	n09824609
n09803247	"Arawak, Arawakan"	n09644820
n09804053	"arbiter, supreme authority"	n09617867
n09805324	"archer, bowman"	n09617867
n09805475	"architect, designer"	n09614315
n09806944	archivist	n09936620
n09807754	"aristocrat, blue blood, patrician"	n09623038
n09809538	"army engineer, military engineer"	n09615807
n09810166	"arrival, arriver, comer"	n09629752
n09811712	articulator	n09610660
n09812338	"artist, creative person"	n09614315
n09814660	"asserter, declarer, affirmer, asseverator, avower"	n09610660
n09815455	assignee	n10402824
n09815677	assignor	n10402824
n09815790	"assistant, helper, help, supporter"	n09632518
n09816771	associate	n09626238
n09818022	"astronaut, spaceman, cosmonaut"	n09629752
n09819477	"cosmographer, cosmographist"	n10560637
n09820263	"athlete, jock"	n09613191
n09824361	authority	n09617867
n09824978	authority figure	n09824609
n09825096	"authorizer, authoriser"	n09824609
n09825519	"automaton, zombi, zombie"	n09606527
n09825939	automotive engineer	n09615807
n09826698	avower	n09610660
n09831731	bad egg	n09831962
n09833275	bailor	n10001058
n09836343	banderillero	n09836160
n09836519	matador	n09836160
n09836658	novillero	n09836160
n09836976	torero	n09836160
n09837720	banker	n09624980
n09841865	basileus	n10541229
n09842395	Basket Maker	n09627462
n09845737	beater	n09632518
n09846586	"bedwetter, bed wetter, wetter"	n10435716
n09847629	bel esprit	n09621545
n09847727	"believer, worshiper, worshipper"	n09628382
n09849349	bellwether	n09623038
n09849598	"beloved, dear, dearest, honey, love"	n09622302
n09850317	Berber	n09634494
n09851371	best friend	n10112591
n09851575	betrothed	n09622302
n09851876	"bettor, better, wagerer, punter"	n10118844
n09852979	bibliotist	n10560637
n09853087	bidder	n09607280
n09854290	"bilingual, bilingualist"	n10264219
n09854510	"bill poster, poster, bill sticker"	n09632518
n09855630	"biologist, life scientist"	n10560637
n09856500	"bird watcher, birder"	n09786585
n09857007	"bisexual, bisexual person"	n09629246
n09858165	black belt	n09617867
n09859412	blasphemer	n09625789
n09859684	bleacher	n09632518
n09860130	blind person	n10757625
n09861946	"boatman, boater, waterman"	n09632518
n09863749	"Bolshevik, Marxist, red, bolshie, bolshy"	n10503452
n09864632	bombshell	n09616922
n09864891	"bondman, bondsman"	n10609325
n09865068	"bondwoman, bondswoman, bondmaid"	n10609325
n09865398	bond servant	n10609325
n09866222	"bookmaker, bookie"	n10118844
n09866817	"bootblack, shoeblack"	n09632274
n09867154	borderer	n09620078
n09869578	Bourbon	n10541229
n09869830	"bourgeois, burgher"	n09610405
n09870208	"boxer, pugilist"	n09939313
n09871364	"boyfriend, fellow, beau, swain, young man"	n09622302
n09871867	boy scout	n09621359
n09872464	brachycephalic	n09605289
n09873348	brawler	n09939313
n09874428	brick	n10138767
n09875786	broadcaster	n09610660
n09877124	"brother, comrade"	n10112591
n09877951	"buddy, brother, chum, crony, pal, sidekick"	n10112591
n09878559	builder	n09614315
n09880075	bunkmate	n09763784
n09882716	"businessperson, bourgeois"	n09609232
n09883047	business traveler	n09629752
n09883174	busker	n09616922
n09884666	"butt, goat, laughingstock, stooge"	n10752480
n09884815	butter	n09939313
n09884934	butterfingers	n09931267
n09885534	"cabalist, kabbalist"	n09617867
n09887034	"calculator, reckoner, figurer, estimator, computer"	n09617867
n09887496	"caliph, calif, kaliph, kalif, khalif, khalifah"	n10541229
n09888269	caller	n09623038
n09890192	camp follower	n10099375
n09890411	campmate	n09763784
n09893344	"captain, chieftain"	n09623038
n09893600	captive	n10052843
n09895561	caregiver	n09605289
n09897696	"carrier, bearer, toter"	n09629752
n09897914	carter	n09632518
n09898020	Cartesian	n10099375
n09900981	"catch, match"	n09605289
n09902731	"caveman, cave man, cave dweller, troglodyte"	n09627462
n09903367	celibate	n09628382
n09904837	"centrist, middle of the roader, moderate, moderationist"	n09605289
n09905050	centurion	n10768585
n09905965	"Chaldean, Chaldaean, Chaldee"	n10370381
n09908025	"chap, fellow, feller, fella, lad, gent, blighter, cuss, bloke"	n09624168
n09909060	"character, eccentric, type, case"	n09605289
n09909477	character witness	n10786517
n09909660	charcoal burner	n09632518
n09913455	cheerleader	n09623038
n09913824	chemist	n10560637
n09916109	chichi	n10033225
n09917593	"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling"	n09622049
n09919899	choker	n09630641
n09920106	choragus	n09623038
n09920283	choreographer	n09614315
n09921409	"chump, fool, gull, mark, patsy, fall guy, sucker, soft touch, mug"	n10752480
n09922485	"churchgoer, church member"	n09628382
n09923418	"cipher, cypher, nobody, nonentity"	n09610405
n09923673	citizen	n09625401
n09924437	"civic leader, civil leader"	n09623038
n09924540	civil engineer	n09615807
n09925592	claimant	n09607280
n09928845	"clever Dick, clever clogs"	n09621545
n09929202	climatologist	n09617867
n09933324	cocksucker	n09629246
n09934647	cognitive scientist	n10560637
n09936362	"collector, gatherer, accumulator"	n09632518
n09940026	comber	n09632518
n09941383	commander	n09623038
n09945905	"companion, comrade, fellow, familiar, associate"	n10112591
n09946278	"companion, fellow traveler, fellow traveller"	n09629752
n09950917	"computer expert, computer guru"	n09617867
n09951070	computer scientist	n09951274
n09951835	conchologist	n09936620
n09953965	conferee	n09610660
n09954246	conferrer	n09610660
n09954479	confessor	n09610660
n09954639	"confidant, intimate"	n10112591
n09956147	connection	n09763784
n09956780	conquistador	n10072708
n09957013	"conscientious objector, CO"	n10018021
n09957156	"conservative, conservativist"	n09605289
